station_location,klvj,rh,date,hour_temp_taken
"HOUSTON CLOVER FIELD, TX US",88,21,2023-04-01,14:53:00
"HOUSTON CLOVER FIELD, TX US",84,59,2023-04-02,14:53:00
"HOUSTON CLOVER FIELD, TX US",83,63,2023-04-03,14:53:00
"HOUSTON CLOVER FIELD, TX US",82,74,2023-04-04,14:53:00
"HOUSTON CLOVER FIELD, TX US",74,82,2023-04-05,14:53:00
"HOUSTON CLOVER FIELD, TX US",69,81,2023-04-06,14:53:00
"HOUSTON CLOVER FIELD, TX US",61,87,2023-04-07,14:53:00
"HOUSTON CLOVER FIELD, TX US",67,71,2023-04-08,14:53:00
"HOUSTON CLOVER FIELD, TX US",75,58,2023-04-09,14:53:00
"HOUSTON CLOVER FIELD, TX US",69,70,2023-04-10,14:53:00
"HOUSTON CLOVER FIELD, TX US",75,48,2023-04-11,14:53:00
"HOUSTON CLOVER FIELD, TX US",78,42,2023-04-12,14:53:00
"HOUSTON CLOVER FIELD, TX US",76,54,2023-04-13,14:53:00
"HOUSTON CLOVER FIELD, TX US",76,79,2023-04-14,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,53,2023-04-15,14:53:00
"HOUSTON CLOVER FIELD, TX US",78,19,2023-04-16,14:53:00
"HOUSTON CLOVER FIELD, TX US",77,26,2023-04-17,14:53:00
"HOUSTON CLOVER FIELD, TX US",80,52,2023-04-18,14:53:00
"HOUSTON CLOVER FIELD, TX US",82,53,2023-04-19,14:53:00
"HOUSTON CLOVER FIELD, TX US",79,69,2023-04-20,14:53:00
"HOUSTON CLOVER FIELD, TX US",82,51,2023-04-21,14:53:00
"HOUSTON CLOVER FIELD, TX US",78,35,2023-04-22,14:53:00
"HOUSTON CLOVER FIELD, TX US",61,78,2023-04-23,14:53:00
"HOUSTON CLOVER FIELD, TX US",73,51,2023-04-24,14:53:00
"HOUSTON CLOVER FIELD, TX US",79,58,2023-04-25,14:53:00
"HOUSTON CLOVER FIELD, TX US",82,65,2023-04-26,14:53:00
"HOUSTON CLOVER FIELD, TX US",79,60,2023-04-27,14:53:00
"HOUSTON CLOVER FIELD, TX US",84,40,2023-04-28,14:53:00
"HOUSTON CLOVER FIELD, TX US",71,46,2023-04-29,14:53:00
"HOUSTON CLOVER FIELD, TX US",85,30,2023-04-30,14:53:00
"HOUSTON CLOVER FIELD, TX US",83,51,2023-05-01,14:53:00
"HOUSTON CLOVER FIELD, TX US",79,60,2023-05-02,14:53:00
"HOUSTON CLOVER FIELD, TX US",84,38,2023-05-03,14:53:00
"HOUSTON CLOVER FIELD, TX US",82,67,2023-05-04,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,54,2023-05-05,14:53:00
"HOUSTON CLOVER FIELD, TX US",88,66,2023-05-06,14:53:00
"HOUSTON CLOVER FIELD, TX US",78,90,2023-05-07,14:53:00
"HOUSTON CLOVER FIELD, TX US",85,63,2023-05-08,14:53:00
"HOUSTON CLOVER FIELD, TX US",77,71,2023-05-09,14:53:00
"HOUSTON CLOVER FIELD, TX US",75,82,2023-05-10,14:53:00
"HOUSTON CLOVER FIELD, TX US",87,63,2023-05-11,14:53:00
"HOUSTON CLOVER FIELD, TX US",87,67,2023-05-12,14:53:00
"HOUSTON CLOVER FIELD, TX US",83,72,2023-05-13,14:53:00
"HOUSTON CLOVER FIELD, TX US",85,70,2023-05-14,14:53:00
"HOUSTON CLOVER FIELD, TX US",88,55,2023-05-15,14:53:00
"HOUSTON CLOVER FIELD, TX US",80,62,2023-05-16,14:53:00
"HOUSTON CLOVER FIELD, TX US",86,43,2023-05-17,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,43,2023-05-18,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,47,2023-05-19,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,42,2023-05-20,14:53:00
"HOUSTON CLOVER FIELD, TX US",81,62,2023-05-21,14:53:00
"HOUSTON CLOVER FIELD, TX US",86,46,2023-05-22,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,50,2023-05-23,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,42,2023-05-24,14:53:00
"HOUSTON CLOVER FIELD, TX US",88,43,2023-05-25,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,33,2023-05-26,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,28,2023-05-27,14:53:00
"HOUSTON CLOVER FIELD, TX US",85,59,2023-05-28,14:53:00
"HOUSTON CLOVER FIELD, TX US",87,48,2023-05-29,14:53:00
"HOUSTON CLOVER FIELD, TX US",90,31,2023-05-30,14:53:00
"HOUSTON CLOVER FIELD, TX US",90,41,2023-05-31,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,43,2023-06-01,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,47,2023-06-02,14:53:00
"HOUSTON CLOVER FIELD, TX US",93,40,2023-06-03,14:53:00
"HOUSTON CLOVER FIELD, TX US",84,46,2023-06-04,14:53:00
"HOUSTON CLOVER FIELD, TX US",75,76,2023-06-05,14:53:00
"HOUSTON CLOVER FIELD, TX US",79,72,2023-06-06,14:53:00
"HOUSTON CLOVER FIELD, TX US",89,43,2023-06-07,14:53:00
"HOUSTON CLOVER FIELD, TX US",91,49,2023-06-08,14:53:00
"HOUSTON CLOVER FIELD, TX US",94,40,2023-06-09,14:53:00
"HOUSTON CLOVER FIELD, TX US",93,49,2023-06-10,14:53:00
"HOUSTON CLOVER FIELD, TX US",92,51,2023-06-11,14:53:00
"HOUSTON CLOVER FIELD, TX US",94,52,2023-06-12,14:53:00
"HOUSTON CLOVER FIELD, TX US",92,58,2023-06-13,14:53:00
"HOUSTON CLOVER FIELD, TX US",94,54,2023-06-14,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,49,2023-06-15,14:53:00
"HOUSTON CLOVER FIELD, TX US",94,58,2023-06-16,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,51,2023-06-17,14:53:00
"HOUSTON CLOVER FIELD, TX US",96,49,2023-06-18,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,51,2023-06-19,14:53:00
"HOUSTON CLOVER FIELD, TX US",99,41,2023-06-20,14:53:00
"HOUSTON CLOVER FIELD, TX US",98,54,2023-06-21,14:53:00
"HOUSTON CLOVER FIELD, TX US",97,45,2023-06-22,14:53:00
